Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
189,MySQL,Python,python-mysql-app-aggre-1,0.000018,0.000070,0.000000,0.000082,0.000000,0.056855,0.056895
190,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000064,0.000000,0.000076,0.000000,0.041285,0.041363
191,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000092,0.000000,0.000108,0.000000,0.046812,0.046851
192,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000073,0.000000,0.000084,0.000000,0.046721,0.046762
193,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000116,0.000000,0.000128,0.000000,0.046131,0.046174
194,MySQL,Python,python-mysql-app-aggre-1,0.000022,0.000076,0.000000,0.000088,0.000000,0.042731,0.042768
195,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000072,0.000000,0.000083,0.000000,0.042865,0.042902
196,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000066,0.000000,0.000078,0.000000,0.041624,0.041656
197,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000067,0.000000,0.000078,0.000000,0.041313,0.041350
198,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000100,0.000000,0.000113,0.000000,0.055792,0.055849
199,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000067,0.000000,0.000081,0.000000,0.040653,0.040717
200,MySQL,Python,python-mysql-app-aggre-1,0.000032,0.000121,0.000000,0.000134,0.000000,0.043075,0.043111
201,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000068,0.000000,0.000080,0.000000,0.023966,0.024023
202,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000057,0.000000,0.000067,0.000000,0.024114,0.024151
203,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000063,0.000000,0.000074,0.000000,0.022715,0.022745
204,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000089,0.000000,0.000100,0.000000,0.023828,0.023858
205,MySQL,Python,python-mysql-data-filter-1,0.000016,0.000090,0.000000,0.000103,0.000000,0.023358,0.023429
206,MySQL,Python,python-mysql-data-filter-1,0.000018,0.000071,0.000000,0.000084,0.000000,0.023162,0.023194
207,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000065,0.000000,0.000077,0.000000,0.023317,0.023344
208,MySQL,Python,python-mysql-data-filter-1,0.000016,0.000109,0.000000,0.000120,0.000000,0.023238,0.023264
209,MySQL,Python,python-mysql-data-filter-1,0.000012,0.000062,0.000000,0.000073,0.000000,0.023661,0.023708
210,MySQL,Python,python-mysql-data-filter-1,0.000020,0.000082,0.000000,0.000096,0.000000,0.023790,0.023831
211,MySQL,Python,python-mysql-data-filter-1,0.000023,0.000123,0.000000,0.000135,0.000000,0.025062,0.025102
212,MySQL,Python,python-mysql-data-filter-1,0.000016,0.000071,0.000000,0.000084,0.000000,0.023065,0.023118
213,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000071,0.000000,0.000082,0.000000,0.022024,0.022056
214,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000061,0.000000,0.000073,0.000000,0.022533,0.022562
215,MySQL,Python,python-mysql-data-filter-1,0.000015,0.000071,0.000000,0.000084,0.000000,0.022188,0.022225
216,MySQL,Python,python-mysql-data-filter-1,0.000015,0.000071,0.000000,0.000083,0.000000,0.024672,0.024699
217,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000061,0.000000,0.000073,0.000000,0.022869,0.022903
218,MySQL,Python,python-mysql-data-filter-1,0.000020,0.000089,0.000000,0.000105,0.000000,0.023479,0.023516
219,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000065,0.000000,0.000075,0.000000,0.023353,0.023383
220,MySQL,Python,python-mysql-data-filter-1,0.000012,0.000056,0.000000,0.000066,0.000000,0.023685,0.023728
221,MySQL,Python,python-mysql-data-filter-1,0.000015,0.000083,0.000000,0.000095,0.000000,0.022547,0.022583
222,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000065,0.000000,0.000076,0.000000,0.023029,0.023060
223,MySQL,Python,python-mysql-data-filter-1,0.000012,0.000063,0.000000,0.000073,0.000000,0.022291,0.022320
224,MySQL,Python,python-mysql-data-filter-1,0.000015,0.000082,0.000000,0.000095,0.000000,0.023260,0.023297
225,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000101,0.000000,0.000113,0.000000,0.023155,0.023206
226,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000070,0.000000,0.000081,0.000000,0.023129,0.023171
227,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000068,0.000000,0.000079,0.000000,0.023130,0.023171
228,MySQL,Python,python-mysql-data-filter-1,0.000013,0.000061,0.000000,0.000073,0.000000,0.022932,0.022962
229,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000098,0.000000,0.000109,0.000000,0.023663,0.023702
230,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000101,0.000000,0.000112,0.000000,0.022505,0.022538
231,MySQL,Python,python-mysql-data-filter-1,0.000016,0.000075,0.000000,0.000087,0.000000,0.023161,0.023203
232,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000062,0.000000,0.000073,0.000000,0.022686,0.022716
233,MySQL,Python,python-mysql-data-filter-1,0.000014,0.000071,0.000000,0.000083,0.000000,0.023093,0.023135
